content_partner,primary_collection,items_total,digitalnz_usage_buckets,archive_tier,recommendation,rights_evidence,existing_archive_coverage,duplication_decision
95bFM,95bFM,9822,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
95bFM,95bFM YouTube,709,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
AgEcon Search,AgEcon Search,1527,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Air Force Museum of New Zealand,Air Force Museum of New Zealand Photograph Collection,16608,Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Alexander Turnbull Library,Alexander Turnbull Library Flickr,4307,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Amuri Historical Society,Amuri Historical Society NZMuseums,8,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Antarctica New Zealand,Antarctica NZ Digital Asset Manager,55348,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
The University of Auckland Library,Anthropology Photographic Archive,53902,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
National Library of New Zealand,AnyQuestions,216,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Aotearoa People's Network Kaharoa,Aotearoa People's Network Kaharoa Flickr,2641,All rights reserved | Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
