rights_statement,record_count,rights_category
Creative Commons Attribution 4.0 International License,252933,cc_by_attribution_only
Crown copyright (All metadata for this record is available under the Creative Commons Attribution 3.0 New Zealand licence.),223448,cc_by_attribution_only
© Auckland Museum CC BY,103564,cc_by_attribution_only
Creative Commons Attribution 4.0 International,57421,cc_by_attribution_only
Attribution 4.0 International (CC BY 4.0),51475,cc_by_attribution_only
This work is licensed under a Creative Commons Attribution 3.0 New Zealand License,38573,cc_by_attribution_only
CC BY 4.0,31025,cc_by_attribution_only
Creative Commons Licence: Attribution CC BY,25110,cc_by_attribution_only
Creative Commons Attribution 3.0 New Zealand,24786,cc_by_attribution_only
"Photo: (c) Jon Sullivan, some rights reserved (CC BY);",21022,cc_by_attribution_only
"Photo: (c) Arnim Littek, some rights reserved (CC BY);",8806,cc_by_attribution_only
"Photo: (c) John Barkla, some rights reserved (CC BY);",8691,cc_by_attribution_only
CC-BY Attribution alone,7559,cc_by_attribution_only
Landcare Research ; CC BY 3.0 NZ,6606,cc_by_attribution_only
"Photo: (c) naturewatchwidow, some rights reserved (CC BY);",6141,cc_by_attribution_only
Creative Commons Attribution 2.0,6076,cc_by_attribution_only
"Photo: (c) Joe Potter Butler, some rights reserved (CC BY);",4479,cc_by_attribution_only
Restricted; Pictorial staff access only; © Auckland Museum CC BY,3949,cc_by_attribution_only
"Photo: (c) predomalpha, some rights reserved (CC BY);",3316,cc_by_attribution_only
"Photo: (c) Brett Sandford, some rights reserved (CC BY);",3070,cc_by_attribution_only
"Photo: (c) Bruce Calvert, some rights reserved (CC BY);",2552,cc_by_attribution_only
"Photo: (c) Steve Kerr, some rights reserved (CC BY);",2466,cc_by_attribution_only
"Photo: (c) johnsteel, some rights reserved (CC BY);",2390,cc_by_attribution_only
"Photo: (c) Andy McKay, some rights reserved (CC BY);",2241,cc_by_attribution_only
"Photo: (c) john_barkla, some rights reserved (CC BY);",2125,cc_by_attribution_only
Restricted; Auckland Museum CC BY; Pictorial staff access only,1970,cc_by_attribution_only
