rights_statement,record_count,rights_category
Creative Commons Attribution-NonCommercial,140914,cc_by_nc
All text is licensed under the Creative Commons Attribution-NonCommercial 3.0 New Zealand Licence. Commercial re-use may be allowed on request. All non-text content is subject to specific conditions.,51245,cc_by_nc
Creative Commons Attribution-NonCommercial 4.0 International License.,30461,cc_by_nc
This work is licensed under a Creative Commons Attribution-Noncommercial 3.0 New Zealand License,26099,cc_by_nc
"Creative Commons BY-NC 3.0. Creative Commons Attribution NonCommercial 3.0. You are free to share, copy, distribute and transmit the work or to remix and adapt the work under the following conditions: you must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work) and you may not use this work for commercial purposes.",17275,cc_by_nc
Creative Commons - CC BY-NC,13016,cc_by_nc
"Photo: (c) Jenny Christianson, some rights reserved (CC BY-NC);",11867,cc_by_nc
"Photo: (c) Stephen Thorpe, some rights reserved (CC BY-NC);",11445,cc_by_nc
Crown Copyright administered through the New Zealand Ministry for Culture and Heritage Te Manatu Taonga. All text licensed under the Creative Commons Attribution-NonCommercial 3.0 New Zealand Licence unless otherwise stated. Commercial re-use may be allowed on request. All non-text content is subject to specific conditions.,10542,cc_by_nc
"Photo: (c) jacqui-nz, some rights reserved (CC BY-NC);",10379,cc_by_nc
"Photo: (c) Mike Lusk, some rights reserved (CC BY-NC);",8630,cc_by_nc
"Photo: (c) tangatawhenua, some rights reserved (CC BY-NC);",7842,cc_by_nc
"Photo: (c) Leon Perrie, some rights reserved (CC BY-NC);",7068,cc_by_nc
Attribution - Non-commercial (cc),6376,cc_by_nc
"Photo: (c) Alex Fergus, some rights reserved (CC BY-NC);",4022,cc_by_nc
"Photo: (c) Phil Bendle, some rights reserved (CC BY-NC);",3515,cc_by_nc
"Photo: (c) reinderw, some rights reserved (CC BY-NC);",3475,cc_by_nc
"Photo: (c) Alice Shanks, some rights reserved (CC BY-NC);",3320,cc_by_nc
Creative Commons Attribution-NonCommercial 4.0 International License. Copyright on this material is owned by Hawke's Bay Today and is not available for commercial use without their consent.,3307,cc_by_nc
"Photo: (c) Mary Joyce, some rights reserved (CC BY-NC);",3267,cc_by_nc
"Photo: (c) Lisa Bennett, some rights reserved (CC BY-NC);",3142,cc_by_nc
"Photo: (c) Jack Warden, some rights reserved (CC BY-NC);",3103,cc_by_nc
"Photo: (c) Mike Bowie, some rights reserved (CC BY-NC);",3060,cc_by_nc
"Photo: (c) wild_wind, some rights reserved (CC BY-NC);",2772,cc_by_nc
Creative Commons AttributionNoncommercial 3.0 New Zealand License.,2738,cc_by_nc
Attribution-NonCommercial License,2731,cc_by_nc
"Photo: (c) Dave Holland, some rights reserved (CC BY-NC);",2529,cc_by_nc
"Photo: (c) Chris Ecroyd, some rights reserved (CC BY-NC);",2473,cc_by_nc
"Photo: (c) Katy Johns, some rights reserved (CC BY-NC);",2378,cc_by_nc
Creative Commons Licence: Attribution-NonCommercial CC BY-NC,2346,cc_by_nc
"Photo: (c) Marley Ford, some rights reserved (CC BY-NC);",2281,cc_by_nc
"Photo: (c) bbi2, some rights reserved (CC BY-NC);",2267,cc_by_nc
"Photo: (c) memopob, some rights reserved (CC BY-NC);",2142,cc_by_nc
"Photo: (c) lisa_bennett, some rights reserved (CC BY-NC);",2022,cc_by_nc
"Photo: (c) John B, some rights reserved (CC BY-NC);",2020,cc_by_nc
CC-BY-NC Attribution + Noncommercial,2019,cc_by_nc
"Photo: (c) Lloyd Esler, some rights reserved (CC BY-NC);",1954,cc_by_nc
"Photo: (c) Kate McCombs, some rights reserved (CC BY-NC);",1895,cc_by_nc
"Photo: (c) greenschist, some rights reserved (CC BY-NC);",1887,cc_by_nc
"Photo: (c) gailtv, some rights reserved (CC BY-NC);",1882,cc_by_nc
"Photo: (c) Pat Enright, some rights reserved (CC BY-NC);",1853,cc_by_nc
"Photo: (c) jennysaito, some rights reserved (CC BY-NC);",1821,cc_by_nc
"This work is licensed under the Creative Commons Attribution-NonCommercial 3.0 New Zealand (CC BY-NC 3.0 NZ) Licence, see http://creativecommons.org/licenses/by-nc/3.0/nz/",1802,cc_by_nc
"This work is licensed under a Creative Commons Attribution-Noncommercial 3.0 New Zealand License; This licence lets you remix, tweak, and build upon our work noncommercially and although your new works must also acknowledge us and be noncommercial, you do not have to license the derivative works on the same terms.",1801,cc_by_nc
"Photo: (c) Grey Smith, some rights reserved (CC BY-NC);",1780,cc_by_nc
"Photo: (c) Simon Nicholas, some rights reserved (CC BY-NC);",1760,cc_by_nc
"Photo: (c) Roger Frost, some rights reserved (CC BY-NC);",1674,cc_by_nc
"Photo: (c) epitree, some rights reserved (CC BY-NC);",1600,cc_by_nc
"Photo: (c) Tony Stoddard, some rights reserved (CC BY-NC);",1549,cc_by_nc
"Photo: (c) mattward, some rights reserved (CC BY-NC);",1541,cc_by_nc
"Photo: (c) Mikey Watson, some rights reserved (CC BY-NC);",1535,cc_by_nc
This item is licensed under a Creative Commons Attribution-NonCommercial 3.0 New Zealand Licence,1473,cc_by_nc
Content licensed under Creative Commons Attribution Noncommercial 3.0 New Zealand Licence.,1436,cc_by_nc
"Photo: (c) Duncan Cunningham, some rights reserved (CC BY-NC);",1435,cc_by_nc
"Photo: (c) fairyeagle, some rights reserved (CC BY-NC);",1415,cc_by_nc
"Photo: (c) adonis_wei, some rights reserved (CC BY-NC);",1414,cc_by_nc
