rights_statement,record_count,rights_category
http://digitool.auckland.ac.nz/cc_byncnd.html,43574,cc_by_nc_nd
CC:BY-NC-ND,43025,cc_by_nc_nd
Content licensed under Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,33701,cc_by_nc_nd
http://digitool.auckland.ac.nz/cc_byncnd_au125.html,22928,cc_by_nc_nd
CC BY-NC-ND 4.0,22490,cc_by_nc_nd
Attribution-NonCommercial-NoDerivs License,17377,cc_by_nc_nd
CC:BY-NC-ND: This work is licensed under a Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 New Zealand License,12749,cc_by_nc_nd
This work is licensed under a Creative Common Attribution – Non Commercial – No Derivatives 3.0 New Zealand.,11918,cc_by_nc_nd
This work is licensed under a Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 New Zealand License,10166,cc_by_nc_nd
"Creative Commons BY-NC-ND 3.0 NZ. Creative Commons Attribution NonCommercial NoDerivatives 3.0 New Zealand. You are free to share, to copy, distribute and transmit the work under the following conditions: you must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). You may not use this work for commercial purposes. You may not alter, transform, or build upon this work.",5910,cc_by_nc_nd
"Creative Commons BY-NC-ND 3.0. Creative Commons Attribution NonCommercial NoDerivatives 3.0. You are free to share, to copy, distribute and transmit the work under the following conditions: you must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). You may not use this work for commercial purposes. You may not alter, transform, or build upon this work.",3750,cc_by_nc_nd
"Gap Filler Photograph Licence. Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported. You are free to share, to copy, distribute and transmit the work under the following conditions: you must attribute the work to Gap Filler (but not in any way that suggests that they endorse you or your use of the work). You may not use this work for commercial purposes. You may not alter, transform, or build upon this work. To the best of our knowledge, these photographs have been taken by Gap Filler staff. If you have any comments or concerns please contact Gap Filler at fillthegap@gapfiller.org.nz",3256,cc_by_nc_nd
"Photo: (c) Melissa Hutchison, some rights reserved (CC BY-NC-ND);",2607,cc_by_nc_nd
CC-BY-NC-ND Attribution + Noncommercial + NoDerivatives,2029,cc_by_nc_nd
© 2010 University of Waikato Library. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License,2007,cc_by_nc_nd
"Photo: (c) Grahame, some rights reserved (CC BY-NC-ND);",1710,cc_by_nc_nd
"Photo: (c) sea-kangaroo, some rights reserved (CC BY-NC-ND);",1607,cc_by_nc_nd
"Photo: (c) d_kluza, some rights reserved (CC BY-NC-ND);",1444,cc_by_nc_nd
"Copyright for the above image is held by MAAS and may be subject to third-party copyright restrictions. Please contact MAAS Rights and Permissions for information regarding reproduction, copyright and fees. Text is released under Attribution-Non Commercial-No Derivatives licence",1186,cc_by_nc_nd
"Photo: (c) Jean Roger, some rights reserved (CC BY-NC-ND);",1117,cc_by_nc_nd
"Photo: (c) grahame, some rights reserved (CC BY-NC-ND);",1108,cc_by_nc_nd
"Photo: (c) Pete McGregor, some rights reserved (CC BY-NC-ND);",920,cc_by_nc_nd
Attribution-NonCommercial-NoDerivs 3.0 New Zealand (CC BY-NC-ND 3.0 NZ),779,cc_by_nc_nd
"Photo: (c) majo00, some rights reserved (CC BY-NC-ND);",694,cc_by_nc_nd
© 2005 University of Waikato Library. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License,693,cc_by_nc_nd
CC BY-NC-ND (All metadata for this Directory of Open Access Journals record is available under the Creative Commons Attribution-ShareAlike License (CC BY-SA).),404,cc_by_nc_nd
"Photo: (c) QuestaGame, some rights reserved (CC BY-NC-ND);",389,cc_by_nc_nd
Attribution-NonCommercial-NoDerivatives 4.0 International,304,cc_by_nc_nd
Licensed under Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported CC BY-NC-ND 3.0 cc https://creativecommons.org/licenses/by-nc-nd/3.0/,297,cc_by_nc_nd
"Photo: (c) Richard Smale, some rights reserved (CC BY-NC-ND);",273,cc_by_nc_nd
© 2001 University of Waikato Library. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License,242,cc_by_nc_nd
"Photo: (c) bunnynom, some rights reserved (CC BY-NC-ND);",224,cc_by_nc_nd
"Photo: (c) M. J., some rights reserved (CC BY-NC-ND);",193,cc_by_nc_nd
"Photo: (c) pohanginapete, some rights reserved (CC BY-NC-ND);",191,cc_by_nc_nd
© 2019 University of Waikato Library. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License,186,cc_by_nc_nd
"Photo: (c) Susanne Vogel, some rights reserved (CC BY-NC-ND);",176,cc_by_nc_nd
"Photo: (c) aeterno, some rights reserved (CC BY-NC-ND);",162,cc_by_nc_nd
© 2018 University of Waikato Library. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License,157,cc_by_nc_nd
© 2018 University of Waikato Library. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.,157,cc_by_nc_nd
Creative Commons Attribution-NonCommercial-NoDerivatives.,146,cc_by_nc_nd
Creative Commons Attribution-NonCommercial-NoDerivs 3.0 New Zealand,146,cc_by_nc_nd
"Photo: (c) Steve Pawson, some rights reserved (CC BY-NC-ND);",138,cc_by_nc_nd
"Photo: (c) Mary Joyce, some rights reserved (CC BY-NC-ND);",134,cc_by_nc_nd
Licensed under Creative Commons Attribution-NonCommercial-NoDerivs 3.0 New Zealand CC BY-NC-ND 3.0 NZ cc https://creativecommons.org/licenses/by-nc-nd/3.0/nz/,122,cc_by_nc_nd
"Photo: (c) warrensmart, some rights reserved (CC BY-NC-ND);",112,cc_by_nc_nd
"United States of America Embassy New Zealand Licence. Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported. You are free to share, to copy, distribute and transmit the work under the following conditions: you must attribute the work to the United States of America Embassy New Zealand (but not in any way that suggests that they endorse you or your use of the work). You may not use this work for commercial purposes. You may not alter, transform, or build upon this work.",109,cc_by_nc_nd
Licensed under Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International CC BY-NC-ND 4.0 cc https://creativecommons.org/licenses/by-nc-nd/4.0/,108,cc_by_nc_nd
© 2014 University of Waikato Library. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License,100,cc_by_nc_nd
Attribution - Non-commercial - No Derivatives (cc),91,cc_by_nc_nd
