rights_statement,record_count,rights_category
CC-BY-NC-SA Attribution + Noncommercial + ShareAlike,27403,cc_by_nc_sa
Attribution-NonCommercial-ShareAlike License,22783,cc_by_nc_sa
"Creative Commons BY-NC-SA 3.0 NZ. Creative Commons Attribution NonCommercial ShareAlike 3.0 New Zealand. You are free to share, copy, distribute and transmit the work, to remix and adapt the work under the following conditions: you must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Non-commercial means you may not use this work for commercial purposes, and if you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one.",3000,cc_by_nc_sa
"Photo: (c) Emily Roberts, some rights reserved (CC BY-NC-SA);",2262,cc_by_nc_sa
"Photo: (c) leonperrie, some rights reserved (CC BY-NC-SA);",1108,cc_by_nc_sa
"Creative Commons BY-NC-SA 3.0. Creative Commons Attribution NonCommercial ShareAlike 3.0. You are free to share, copy, distribute and transmit the work, to remix and adapt the work under the following conditions: you must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Non-commercial means you may not use this work for commercial purposes, and if you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one.",1098,cc_by_nc_sa
Attribution-NonCommercial-ShareAlike 3.0 New Zealand,607,cc_by_nc_sa
"[""The manuscript images, transcripts and metadata displayed on the Marsden Online Archive site are governed by a Attribution-NonCommercial-ShareAlike 3.0 New Zealand (CC BY-NC-SA 3.0 NZ) copyright agreement (available at http://creativecommons.org/licenses/by-nc-sa/3.0/nz/). Please contact the Hocken Collections, University of Otago Library, Dunedin, New Zealand for more information.""]",599,cc_by_nc_sa
"Photo: (c) Jane Percival, some rights reserved (CC BY-NC-SA);",560,cc_by_nc_sa
"Photo: (c) Vanessa, some rights reserved (CC BY-NC-SA);",533,cc_by_nc_sa
"Photo: (c) Marley Ford, some rights reserved (CC BY-NC-SA);",485,cc_by_nc_sa
"Photo: (c) Susan Wiser, some rights reserved (CC BY-NC-SA);",457,cc_by_nc_sa
Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported,407,cc_by_nc_sa
"Photo: (c) Grant, some rights reserved (CC BY-NC-SA);",315,cc_by_nc_sa
Licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported CC BY-NC-SA 3.0 cc https://creativecommons.org/licenses/by-nc-sa/3.0/,266,cc_by_nc_sa
Creative Commons AttributionNoncommercialShare Alike 3.0 New Zealand License.,247,cc_by_nc_sa
"Photo: (c) jacqui-nz, some rights reserved (CC BY-NC-SA);",220,cc_by_nc_sa
"Photo: (c) Mark, some rights reserved (CC BY-NC-SA);",194,cc_by_nc_sa
"Photo: (c) craig wilson, some rights reserved (CC BY-NC-SA);",175,cc_by_nc_sa
"Photo: (c) Gavin Kingsley, some rights reserved (CC BY-NC-SA);",164,cc_by_nc_sa
"Photo: (c) Jordi J. Tablada, some rights reserved (CC BY-NC-SA);",150,cc_by_nc_sa
"Photo: (c) c michael hogan, some rights reserved (CC BY-NC-SA);",144,cc_by_nc_sa
"Photo: (c) Christopher Tracey, some rights reserved (CC BY-NC-SA);",138,cc_by_nc_sa
CC BY-NC-SA (All metadata for this Directory of Open Access Journals record is available under the Creative Commons Attribution-ShareAlike License (CC BY-SA).),130,cc_by_nc_sa
"Photo: (c) DM, some rights reserved (CC BY-NC-SA);",130,cc_by_nc_sa
"Photo: (c) Leon Perrie, some rights reserved (CC BY-NC-SA);",123,cc_by_nc_sa
"Photo: (c) bernard smith, some rights reserved (CC BY-NC-SA);",113,cc_by_nc_sa
"Photo: (c) mothermole, some rights reserved (CC BY-NC-SA);",111,cc_by_nc_sa
"Photo: (c) Ember Song, some rights reserved (CC BY-NC-SA);",104,cc_by_nc_sa
Attribution - Non-commercial - Share Alike (cc),98,cc_by_nc_sa
"Creative Commons BY-NC-SA 2.0. Creative Commons Attribution NonCommercial ShareAlike 2.0. You are free to share, copy, distribute and transmit the work, or to remix and adapt the work, under the following conditions: you must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work), you may not use this work for commercial purposes, and if you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one.",96,cc_by_nc_sa
"Photo: (c) Tiffany Kosch, some rights reserved (CC BY-NC-SA);",94,cc_by_nc_sa
Attribution-NonCommercial-ShareAlike 4.0 International,88,cc_by_nc_sa
CC BY-NC-SA 4.0,78,cc_by_nc_sa
"Photo: (c) Aya, some rights reserved (CC BY-NC-SA);",72,cc_by_nc_sa
Licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 New Zealand CC BY-NC-SA 3.0 NZ cc https://creativecommons.org/licenses/by-nc-sa/3.0/nz/,70,cc_by_nc_sa
"Photo: (c) Grant Crawford, some rights reserved (CC BY-NC-SA);",70,cc_by_nc_sa
"Photo: (c) Elle, some rights reserved (CC BY-NC-SA);",68,cc_by_nc_sa
"Photo: (c) ctracey, some rights reserved (CC BY-NC-SA);",54,cc_by_nc_sa
"Photo: (c) Simon Oosterman Beckers, some rights reserved (CC BY-NC-SA);",51,cc_by_nc_sa
Licensed under Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International CC BY-NC-SA 4.0 cc https://creativecommons.org/licenses/by-nc-sa/4.0/,49,cc_by_nc_sa
"Photo: (c) bugman-nz, some rights reserved (CC BY-NC-SA);",48,cc_by_nc_sa
"Photo: (c) grantc, some rights reserved (CC BY-NC-SA);",48,cc_by_nc_sa
CC:BY-NC-SA,47,cc_by_nc_sa
"Photo: (c) arpugh, some rights reserved (CC BY-NC-SA);",47,cc_by_nc_sa
"Photo: (c) susan_waugh, some rights reserved (CC BY-NC-SA);",47,cc_by_nc_sa
"Photo: (c) Shane Orchard, some rights reserved (CC BY-NC-SA);",46,cc_by_nc_sa
This item is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 New Zealand Licence,46,cc_by_nc_sa
"Photo: (c) bernardsmith, some rights reserved (CC BY-NC-SA);",43,cc_by_nc_sa
This work is licensed under a Creative Commons Attribution-Noncommercial-Share Alike 3.0 New Zealand License,43,cc_by_nc_sa
"Photo: (c) Nuno Veríssimo P., some rights reserved (CC BY-NC-SA);",42,cc_by_nc_sa
"Photo: (c) R Schady, some rights reserved (CC BY-NC-SA);",40,cc_by_nc_sa
"You may download, display, print or reproduce this image in an unaltered form and with acknowledgement to National Wool Museum for personal, educational and private research use. If you wish to use it for any other purposes you must obtain permission from National Wool Museum. Attribution Non Commercial ShareAlike 3.0 Unported Creative Commons http://creativecommons.org/licenses/by-nc-sa/3.0/",37,cc_by_nc_sa
"You may download, display, print or reproduce this image in an unaltered form and with acknowledgement to Federation University Australia Historical Collection  for personal, educational and private research use. If you wish to use it for any other purposes you must obtain permission from Federation University Australia Historical Collection . Attribution Non Commercial ShareAlike 3.0 Unported Creative Commons http://creativecommons.org/licenses/by-nc-sa/3.0/",36,cc_by_nc_sa
"Photo: (c) Martin, some rights reserved (CC BY-NC-SA);",34,cc_by_nc_sa
This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,32,cc_by_nc_sa
"Photo: (c) Jordi Tablada, some rights reserved (CC BY-NC-SA);",31,cc_by_nc_sa
Creative Commons Attribution-NonCommercial-ShareAlike (CC BY-NC-SA) 4.0,29,cc_by_nc_sa
