rights_statement,record_count,rights_category
Text is available under the Creative Commons Attribution-ShareAlike License; additional terms may apply.,14020,cc_by_sa
"Photo: (c) Colin Meurk, some rights reserved (CC BY-SA);",6906,cc_by_sa
"Photo: (c) Tony Wills, some rights reserved (CC BY-SA);",6125,cc_by_sa
"Photo: (c) Christopher Stephens, some rights reserved (CC BY-SA);",5377,cc_by_sa
"Photo: (c) Mark Tutty, some rights reserved (CC BY-SA);",4606,cc_by_sa
CC BY (All metadata for this Directory of Open Access Journals record is available under the Creative Commons Attribution-ShareAlike License (CC BY-SA).),2852,cc_by_sa
"Photo: (c) colinmeurk, some rights reserved (CC BY-SA);",2342,cc_by_sa
"Photo: (c) Tim Park, some rights reserved (CC BY-SA);",2052,cc_by_sa
"Photo: (c) David Whyte, some rights reserved (CC BY-SA);",1944,cc_by_sa
"Photo: (c) parkecology, some rights reserved (CC BY-SA);",1789,cc_by_sa
http://digitool.auckland.ac.nz/cc_bysa.html,1689,cc_by_sa
"Photo: (c) Jacob Littlejohn, some rights reserved (CC BY-SA);",1463,cc_by_sa
"Photo: (c) Colin, some rights reserved (CC BY-SA);",1397,cc_by_sa
"Photo: (c) Robert Briggs, some rights reserved (CC BY-SA);",1305,cc_by_sa
"Photo: (c) tony_wills, some rights reserved (CC BY-SA);",1083,cc_by_sa
"Photo: (c) mark anderson, some rights reserved (CC BY-SA);",566,cc_by_sa
"Creative Commons BY-SA 2.0. Creative Commons Attribution ShareAlike 2.0. You are free to share, copy, distribute and transmit the work, to remix and adapt the work, or to make commercial use of the work, under the following conditions: you must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work), and if you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one.",452,cc_by_sa
Attribution-ShareAlike License,289,cc_by_sa
Licensed under Creative Commons Attribution-ShareAlike 3.0 New Zealand CC BY-SA 3.0 NZ cc https://creativecommons.org/licenses/by-sa/3.0/nz/,237,cc_by_sa
"Photo: (c) Uwe Schneehagen, some rights reserved (CC BY-SA);",235,cc_by_sa
Licensed under Creative Commons Attribution-ShareAlike 4.0 International CC BY-SA 4.0 cc https://creativecommons.org/licenses/by-sa/4.0/,223,cc_by_sa
"Photo: (c) Rob Cruickshank, some rights reserved (CC BY-SA);",223,cc_by_sa
