rights_statement,record_count,rights_category
http://creativecommons.org/licenses/by-sa/3.0/nz/,28165,other_open_or_conditional
http://creativecommons.org/licences/by-nc/3.0/nz,18357,other_open_or_conditional
http://creativecommons.org/licenses/by-nc-nd/3.0/nz/,9704,other_open_or_conditional
"Except where otherwise noted, all content on this site provided by the Waimate Museum & Archives is licensed under a Creative Commons BY-NC-ND 3.0 Unported License.",8394,other_open_or_conditional
http://creativecommons.org/licenses/by-nc-sa/3.0/nz/,7972,other_open_or_conditional
Attribution License,6378,other_open_or_conditional
http://creativecommons.org/licenses/by/4.0/,4929,other_open_or_conditional
OpenAccess,4369,other_open_or_conditional
Attribution-NoDerivs License,2341,other_open_or_conditional
"(With the exceptions noted in http://researcharchive.lincoln.ac.nz/page/rights, this metadata is available under a Creative Commons Zero license.)",2123,other_open_or_conditional
Any requests to the Library for use or reuse of photographs for commercial purposes will be referred to The Press for the supply of copies.,1519,other_open_or_conditional
http://creativecommons.org/licenses/by-nc-sa/3.0/,1115,other_open_or_conditional
"https://researcharchive.lincoln.ac.nz/page/rights (With the exceptions noted in http://researcharchive.lincoln.ac.nz/page/rights, this metadata is available under a Creative Commons Zero license.)",1000,other_open_or_conditional
http://creativecommons.org/licenses/by/3.0/,955,other_open_or_conditional
Open,847,other_open_or_conditional
http://creativecommons.org/licenses/by-nc-sa/4.0/,687,other_open_or_conditional
http://creativecommons.org/licenses/by-sa/3.0/,669,other_open_or_conditional
http://creativecommons.org/licenses/by-sa/4.0/,510,other_open_or_conditional
Open. Digital copy available.; Open,423,other_open_or_conditional
http://creativecommons.org/licenses/by-nc-nd/4.0/,209,other_open_or_conditional
http://creativecommons.org/licenses/by-nc-sa/3.0/nz,209,other_open_or_conditional
http://creativecommons.org/licences/by/3.0/nz,158,other_open_or_conditional
http://creativecommons.org/licenses/by/3.0/nz/,132,other_open_or_conditional
Creative Commons BY-NC-ND 4.0 Licence,130,other_open_or_conditional
http://creativecommons.org/licenses/by-nc/4.0/,109,other_open_or_conditional
http://creativecommons.org/licenses/by-nd/3.0/nz/,91,other_open_or_conditional
Some rights reserved http://creativecommons.org/licenses/by/2.0/,71,other_open_or_conditional
Open.; Open,63,other_open_or_conditional
http://creativecommons.org/licenses/by-nc/3.0/nz/,48,other_open_or_conditional
"Digital dissertation can be viewed by current staff and students of Lincoln University only. (With the exceptions noted in http://researcharchive.lincoln.ac.nz/page/rights, this metadata is available under a Creative Commons Zero license.)",46,other_open_or_conditional
"This licence lets you distribute, remix, tweak, and build upon this work, even commercially, as long as you credit us for the original creation. This is the most accommodating of the licences offered, in terms of what you can do with our works licensed under Attribution.",45,other_open_or_conditional
"© The authors (With the exceptions noted in http://researcharchive.lincoln.ac.nz/page/rights, this metadata is available under a Creative Commons Zero license.)",45,other_open_or_conditional
"© The Authors (With the exceptions noted in http://researcharchive.lincoln.ac.nz/page/rights, this metadata is available under a Creative Commons Zero license.)",43,other_open_or_conditional
Some rights reserved http://creativecommons.org/licenses/by-nc-nd/2.0/,39,other_open_or_conditional
"http://creativecommons.org/licenses/by/4.0/ (With the exceptions noted in http://researcharchive.lincoln.ac.nz/page/rights, this metadata is available under a Creative Commons Zero license.)",34,other_open_or_conditional
http://creativecommons.org/licenses/by/2.0,30,other_open_or_conditional
