rights_statement,record_count,rights_category
No known copyright restrictions,21195184,public_domain_or_no_known_restrictions
No known Copyright,206411,public_domain_or_no_known_restrictions
No Known Copyright Restrictions,57303,public_domain_or_no_known_restrictions
No Known Copyright,6655,public_domain_or_no_known_restrictions
https://creativecommons.org/publicdomain/zero/1.0/,6137,public_domain_or_no_known_restrictions
No known copyright restrictions; Closed - digital copy only available; Digital copy available,5852,public_domain_or_no_known_restrictions
No known copyright restrictions; Restricted; Print file available,4595,public_domain_or_no_known_restrictions
"Restrictions: No cultural/ethical restrictions apply. Copyright: No known copyright. We ask that, in addition to normal copyright and privacy considerations, users of our heritage resources uphold the mana and dignity of the people, communities and places depicted within.",4112,public_domain_or_no_known_restrictions
http://creativecommons.org/publicdomain/zero/1.0/,3910,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Viewing by appointment only,3420,public_domain_or_no_known_restrictions
Copyright expired - public domain  This item is in the Public Domain http://creativecommons.org/publicdomain/mark/1.0/,3284,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Open,2414,public_domain_or_no_known_restrictions
No known copyright restrictions; Closed - digital copy only available; Pictorial Staff access only Digital copy available,1983,public_domain_or_no_known_restrictions
No known copyright restrictions; Closed - digital copy only available; Digital copy available; © Auckland Museum CC BY,1911,public_domain_or_no_known_restrictions
No known copyright restrictions; Open,1641,public_domain_or_no_known_restrictions
http://creativecommons.org/publicdomain/mark/1.0/,1112,public_domain_or_no_known_restrictions
"No known copyright restrictions. To the best of the Alexander Turnbull Library's knowledge, under New Zealand law: there is no copyright or other intellectual property rights in this item in New Zealand; and it may be copied and otherwise re-used in New Zealand without copyright or other intellectual property right related restriction. However the Alexander Turnbull Library requests that the images are used and re-used in a manner that respects their status as documentary heritage and taonga. Alexander Turnbull Library will not be liable to you, on any legal basis (including negligence), for any loss or damage you suffer through your use of this material, except in those cases where the law does not allow us to exclude or limit our liability to you.",1043,public_domain_or_no_known_restrictions
Public Domain Mark,709,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Acclimatisation required,612,public_domain_or_no_known_restrictions
No known copyright restrictions; Closed - digital copy only available; Auckland Museum CC BY,550,public_domain_or_no_known_restrictions
No known copyright restrictions; Restricted,540,public_domain_or_no_known_restrictions
Public Domain,526,public_domain_or_no_known_restrictions
No known copyright,487,public_domain_or_no_known_restrictions
No known copyright restrictions; Closed - digital copy only available; Digital copy available; Auckland Museum CC BY,465,public_domain_or_no_known_restrictions
Access by appointment; Restricted; No Known Copyright Restrictions,407,public_domain_or_no_known_restrictions
"Please ask Library for permission to reproduce this item. 
Copyright: No known copyright.",401,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Fragile - assisted viewing only,359,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Fragile - issue surrogate,359,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Closed-digital copy only available,348,public_domain_or_no_known_restrictions
"Public Domain, Google-digitized.",278,public_domain_or_no_known_restrictions
"Please ask Library for permission to reproduce this image 
Copyright: No known copyright",266,public_domain_or_no_known_restrictions
No known Copyright Restrictions,244,public_domain_or_no_known_restrictions
"No known copyright restrictions. To the best of the Alexander Turnbull Library's knowledge, under New Zealand law: there is no copyright or other intellectual property rights in this item in New Zealand; and it may be copied  and otherwise re-used in New Zealand without copyright or other intellectual property right related restriction. However the Alexander Turnbull Library requests that the images are used and re-used in a manner that respects their status as documentary heritage and taonga. Alexander Turnbull Library will not be liable to you, on any legal basis (including negligence), for any loss or damage you suffer through your use of this material, except in those cases where the law does not allow us to exclude or limit our liability to you.",213,public_domain_or_no_known_restrictions
Closed - digital copy only available; Permission to reproduce this image should be sought from Auckland War Memorial Museum. No known copyright restrictions; Digital copy available,199,public_domain_or_no_known_restrictions
"No known copyright restrictions; Although no known copyright exists for this item, we ask that you treat it with respect. Please contact us to seek permission to reproduce this image.; Digital copy available; Viewing by appointment only",166,public_domain_or_no_known_restrictions
"Restrictions: No cultural/ethical restrictions apply. Copyright: No known copyright. Please use taonga Māori materials provided by Te Ao Mārama - Tauranga City Libraries appropriately. Ensure to respect and be mindful of the photographer/s, and the mana and dignity of personnel, iwi group/s, and environmental subjects within the material used.",162,public_domain_or_no_known_restrictions
No known copyright restrictions; Access by appointment contact Library; Fragile - assisted viewing only,161,public_domain_or_no_known_restrictions
Restrictions: No cultural/ethical restrictions apply. Copyright: No known copyright.,154,public_domain_or_no_known_restrictions
No known copyright restrictions; Request in Library; Open,128,public_domain_or_no_known_restrictions
Public domain. The BHL considers that this work is no longer under copyright protection.,126,public_domain_or_no_known_restrictions
Access by appointment only; Digital copy available; Restricted; No Known Copyright Restrictions,108,public_domain_or_no_known_restrictions
No known copyright restrictions; Access by appointment contact Library; Viewing by appointment only,102,public_domain_or_no_known_restrictions
"Pursuant to Title 17 Section 105 of the United States Code, this file is not subject to copyright protection and is in the public domain. For more information please see http://www.gpo.gov/help/index.html#public_domain_copyright_notice.htm",90,public_domain_or_no_known_restrictions
CC0 Freeing content globally without restrictions,89,public_domain_or_no_known_restrictions
No known copyright,88,public_domain_or_no_known_restrictions
No rights reserved - no known copyright restrictions,84,public_domain_or_no_known_restrictions
No known copyright restrictions; Closed - digital copy only available,81,public_domain_or_no_known_restrictions
"Restrictions: No access restriction applies to this item. Copyright: No known copyright. We ask that, in addition to normal copyright and privacy considerations, users of our heritage resources uphold the mana and dignity of the people, communities and places depicted within.",78,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Access by appointment contact Library,75,public_domain_or_no_known_restrictions
No known copyright restrictions; Closed - digital copy only available; Digital copy available; Acclimatisation required,74,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Viewing by appointment only; Cultural permissions apply,68,public_domain_or_no_known_restrictions
CC0 1.0 Universal,64,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available,63,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Acclimatisation required; Auckland Museum has yet to establish the copyright status of this image; restrictions may apply.,62,public_domain_or_no_known_restrictions
Image: Public Domain https://creativecommons.org/publicdomain/mark/1.0/ Text: Copyright National Museum of Australia / CC BY-NC https://creativecommons.org/licenses/by-nc/4.0/ Copyright National Museum of Australia / CC BY-NC,61,public_domain_or_no_known_restrictions
"No known copyright restrictions; Closed - digital copy only available; Although no known copyright exists for this item, we ask that you treat it with respect. Please contact us to seek permission to reproduce this image.; Digital copy available",61,public_domain_or_no_known_restrictions
CC:Public Domain,58,public_domain_or_no_known_restrictions
No known copyright restrictions; Fragile - issue surrogate; Request in Library,57,public_domain_or_no_known_restrictions
"Items in this collection are believed to be in the public domain but no determination of copyright has be made. For more information, contact the Library staff at http://www.oit.edu/libraries/help/contact",54,public_domain_or_no_known_restrictions
No known copyright restrictions; Restricted; Pictorial Staff access only; Print file available,54,public_domain_or_no_known_restrictions
Public Domain Dedication (CC0),53,public_domain_or_no_known_restrictions
"Public domain, Courtesy L. Tom Perry Special Collections, Harold B. Lee Library, Brigham Young University",53,public_domain_or_no_known_restrictions
CC0,49,public_domain_or_no_known_restrictions
Public Domain Work http://creativecommons.org/publicdomain/mark/1.0/,48,public_domain_or_no_known_restrictions
No known copyright restrictions; Access by appointment; Restricted,44,public_domain_or_no_known_restrictions
No known copyright.,41,public_domain_or_no_known_restrictions
No known copyright restrictions; Available as a Print File,40,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Access by appointment contact Library; Acclimatisation required,39,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Restricted,39,public_domain_or_no_known_restrictions
Public Domain.,36,public_domain_or_no_known_restrictions
Library & Archives NT https://creativecommons.org/share-your-work/public-domain/pdm No known copyright restrictions Public Domain No known copyright,32,public_domain_or_no_known_restrictions
No known copyright restrictions; Digital copy available; Open; All rights reserved,32,public_domain_or_no_known_restrictions
No known copyright restrictions http://rightsstatements.org/vocab/NKC/1.0/,26,public_domain_or_no_known_restrictions
No known copyright restrictions; Closed - digital copy only available; © Auckland Museum CC BY,26,public_domain_or_no_known_restrictions
"Restrictions: No cultural/ethical restrictions apply. Copyright: No known copyright. We ask that, in addition to normal copyright and privacy considerations, users of our heritage resources uphold the mana and dignity of the people , communities and places depicted within.",26,public_domain_or_no_known_restrictions
"No known copyright restrictions; Although no known copyright exists for this item, we ask that you treat it with respect. Please contact us to seek permission to reproduce this image.; Digital copy available; Open",24,public_domain_or_no_known_restrictions
No known copyright restrictions; Print file available; Open,24,public_domain_or_no_known_restrictions
CC 0,23,public_domain_or_no_known_restrictions
"Copyright 2007, Brigham Young University - Hawaii Campus Public Domain, Courtesy Brigham Young University - Hawaii Campus",22,public_domain_or_no_known_restrictions
Creative Commons CC0 1.0 Universal,22,public_domain_or_no_known_restrictions
"No known copyright restrictions; Although no known copyright exists for this item, we ask that you treat it with respect. Please contact us to seek permission to reproduce this image.; Open",22,public_domain_or_no_known_restrictions
No known copyright restrictions; Restricted; Pictorial Staff access only,22,public_domain_or_no_known_restrictions
No known copyright restrictions; Access by appointment – contact Library; Viewing by appointment only,20,public_domain_or_no_known_restrictions
No Known Copyright Restrictions; © Auckland Museum CC BY,19,public_domain_or_no_known_restrictions
No known copyright restrictions; Access by appointment contact Library; Acclimatisation required,17,public_domain_or_no_known_restrictions
